city,type,temperature,humidity,pressure,wind_speed,timestamp,rain_probability,hour,day,month,temp_lag_1,temp_lag_2,temp_lag_3,humidity_lag_1,pressure_lag_1
Ampara,forecast,23.8,89,1009,1.52,2026-03-29 05:30:00,0.0,5,29,3,24.15,24.42,24.66,85.0,1009.0
Ampara,forecast,27.42,78,1011,0.93,2026-03-29 08:30:00,0.0,8,29,3,23.8,24.15,24.42,89.0,1009.0
Ampara,forecast,31.38,61,1010,3.76,2026-03-29 11:30:00,0.2,11,29,3,27.42,23.8,24.15,78.0,1011.0
Ampara,forecast,31.24,62,1006,5.52,2026-03-29 14:30:00,0.0,14,29,3,31.38,27.42,23.8,61.0,1010.0
Ampara,forecast,27.96,78,1007,3.94,2026-03-29 17:30:00,0.0,17,29,3,31.24,31.38,27.42,62.0,1006.0
Ampara,forecast,25.57,85,1009,3.49,2026-03-29 20:30:00,0.0,20,29,3,27.96,31.24,31.38,78.0,1007.0
Ampara,forecast,24.5,90,1009,1.54,2026-03-29 23:30:00,0.0,23,29,3,25.57,27.96,31.24,85.0,1009.0
Ampara,forecast,23.6,94,1008,1.22,2026-03-30 02:30:00,0.0,2,30,3,24.5,25.57,27.96,90.0,1009.0
Ampara,forecast,23.2,95,1009,1.16,2026-03-30 05:30:00,0.0,5,30,3,23.6,24.5,25.57,94.0,1008.0
Ampara,forecast,28.3,72,1011,1.13,2026-03-30 08:30:00,0.0,8,30,3,23.2,23.6,24.5,95.0,1009.0
Ampara,forecast,32.06,54,1010,3.77,2026-03-30 11:30:00,0.0,11,30,3,28.3,23.2,23.6,72.0,1011.0
Ampara,forecast,31.55,58,1007,5.4,2026-03-30 14:30:00,0.0,14,30,3,32.06,28.3,23.2,54.0,1010.0
Ampara,forecast,28.27,72,1008,4.0,2026-03-30 17:30:00,0.0,17,30,3,31.55,32.06,28.3,58.0,1007.0
Ampara,forecast,25.74,80,1011,2.86,2026-03-30 20:30:00,0.0,20,30,3,28.27,31.55,32.06,72.0,1008.0
